team,team_gender,country,discipline
Spain,X,Spain,Judo
France,X,France,Judo
Georgia,X,Georgia,Judo
Germany,X,Germany,Judo
Hungary,X,Hungary,Judo
Israel,X,Israel,Judo
Italy,X,Italy,Judo
Japan,X,Japan,Judo
Kazakhstan,X,Kazakhstan,Judo
Republic of Korea,X,Korea,Judo
Mongolia,X,Mongolia,Judo
Netherlands,X,Netherlands,Judo
Serbia,X,Serbia,Judo
Türkiye,X,Türkiye,Judo
Uzbekistan,X,Uzbekistan,Judo
Australia,M,Australia,Rowing
Great Britain,M,Great Britain,Rowing
Germany,M,Germany,Rowing
Italy,M,Italy,Rowing
Netherlands,M,Netherlands,Rowing
